timestamp,station_id,pm25,pm10,no2,aqi,wind_speed,wind_direction,humidity,boundary_layer_height
2026-01-01 15:10:25.566453+00:00,KARN001,46.5,74.8,36.1,84,2.1,225.7,61.8,1479.0
2026-01-01 16:10:25.566453+00:00,KARN001,45.6,65.7,39.7,85,11.9,101.9,50.0,1101.6
2026-01-01 17:10:25.566453+00:00,KARN001,48.7,84.4,36.3,83,16.6,47.8,93.1,1002.2
2026-01-01 18:10:25.566453+00:00,KARN001,42.5,60.6,40.2,80,3.6,262.8,45.8,1216.7
2026-01-01 19:10:25.566453+00:00,KARN001,45.9,62.0,39.8,74,10.9,113.0,86.0,1704.0
2026-01-01 20:10:25.566453+00:00,KARN001,38.1,66.5,35.5,69,8.1,76.0,47.6,1974.7
2026-01-01 21:10:25.566453+00:00,KARN001,40.8,66.7,35.0,60,6.1,219.2,85.8,1723.1
2026-01-01 22:10:25.566453+00:00,KARN001,25.4,39.1,34.2,53,10.9,125.2,53.5,1230.1
2026-01-01 23:10:25.566453+00:00,KARN001,27.6,39.0,36.8,48,22.9,168.9,40.6,1753.8
2026-01-02 00:10:25.566453+00:00,KARN001,24.2,39.4,33.7,46,23.9,297.5,66.3,1893.5
2026-01-02 01:10:25.566453+00:00,KARN001,27.0,49.7,32.3,51,13.0,283.4,73.6,694.7
2026-01-02 02:10:25.566453+00:00,KARN001,26.6,58.4,32.5,56,13.6,270.9,52.5,556.0
2026-01-02 03:10:25.566453+00:00,KARN001,30.4,45.1,37.7,59,15.1,234.5,63.2,815.4
2026-01-02 04:10:25.566453+00:00,KARN001,31.6,64.0,39.7,66,18.1,281.8,79.7,1801.2
2026-01-02 05:10:25.566453+00:00,KARN001,48.9,60.0,32.9,72,15.8,274.0,73.4,1879.7
2026-01-02 06:10:25.566453+00:00,KARN001,48.3,74.5,30.0,75,22.9,218.0,93.2,1595.1
2026-01-02 07:10:25.566453+00:00,KARN001,44.1,76.9,39.9,75,23.4,5.5,55.6,710.0
2026-01-02 08:10:25.566453+00:00,KARN001,39.0,90.0,36.9,81,9.5,228.0,52.9,322.0
2026-01-02 09:10:25.566453+00:00,KARN001,51.0,72.9,32.3,77,11.4,239.9,53.1,930.5
2026-01-02 10:10:25.566453+00:00,KARN001,33.7,73.0,38.0,76,22.9,101.2,82.0,1838.7
2026-01-02 11:10:25.566453+00:00,KARN001,35.2,71.0,38.4,70,6.4,13.4,46.1,428.8
2026-01-02 12:10:25.566453+00:00,KARN001,36.2,54.7,31.8,70,7.8,51.5,78.1,1677.2
2026-01-02 13:10:25.566453+00:00,KARN001,38.5,73.8,39.8,70,22.1,289.3,54.0,905.8
2026-01-02 14:10:25.566453+00:00,KARN001,44.8,48.1,35.1,74,6.9,251.4,87.2,1453.2
2026-01-02 15:10:25.566453+00:00,KARN001,50.4,75.4,37.4,81,2.3,317.3,53.3,706.2
2026-01-02 16:10:25.566453+00:00,KARN001,39.4,90.8,33.0,86,18.4,57.0,71.9,1898.9
